,SampleNum,SampleName,GMHI,Microbiome,Rep,Sample_Abbr,Sample,Category
492,19,S16-19-3,4.107597127,S16,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
493,19,S3-19-3,3.239740083,S3,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
494,19,S6-19-3,-0.642047261,S6,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
495,19,S10-19-3,3.997684392,S10,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
496,19,S15-19-3,2.91010418,S15,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
497,19,S12-19-2,2.272563259,S12,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
498,19,S5-19-1,-1.930204982,S5,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
499,19,S6-19-1,0,S6,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
500,19,S7-19-1,2.472187095,S7,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
501,19,S11-19-3,2.875086262,S11,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
502,19,S7-19-3,2.127752215,S7,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
503,19,S8-19-2,4.311802507,S8,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
504,19,S13-19-2,3.093187207,S13,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
505,19,S9-19-3,1.907821635,S9,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
506,19,S6-19-2,-1.132024237,S6,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
507,19,S13-19-1,2.808310558,S13,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
508,19,S15-19-2,2.884156062,S15,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
509,19,S12-19-1,3.051116852,S12,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
510,19,S1-19-2,3.171302548,S1,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
511,19,S14-19-3,0.917332371,S14,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
512,19,S5-19-2,-1.393007321,S5,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
513,19,S14-19-1,1.410331046,S14,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
514,19,S4-19-1,2.521055546,S4,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
515,19,S4-19-2,2.823009024,S4,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
516,19,S4-19-3,3.19363475,S4,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
517,19,S8-19-1,4.320846308,S8,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
518,19,S13-19-3,3.078297358,S13,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
519,19,S16-19-2,4.066917646,S16,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
520,19,S3-19-1,3.196816666,S3,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
521,19,S1-19-3,2.082542166,S1,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
522,19,S5-19-3,-1.64433448,S5,3,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
523,19,S14-19-2,0.840558458,S14,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
524,19,S1-19-1,2.135880414,S1,1,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
525,19,S10-19-2,2.940638927,S10,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
526,19,S3-19-2,3.13122254,S3,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
527,19,S11-19-2,3.06323272,S11,2,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
528,2,S14-2-1,-0.740762431,S14,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
529,2,S14-2-2,1.098313618,S14,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
530,2,S4-2-1,2.649908989,S4,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
531,2,S13-2-1,2.2465524,S13,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
532,2,S10-2-3,3.451746465,S10,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
533,2,S16-2-3,3.685028727,S16,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
534,2,S6-2-1,0,S6,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
535,2,S3-2-1,2.698154207,S3,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
536,2,S12-2-3,2.10918168,S12,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
537,2,S1-2-1,1.384510265,S1,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
538,2,S5-2-1,-1.699387666,S5,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
539,2,S15-2-2,2.619502811,S15,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
540,2,S8-2-1,3.287688389,S8,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
541,2,S2-2-1,1.641279061,S2,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
542,2,S12-2-1,3.203411387,S12,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
543,2,S9-2-1,3.017811707,S9,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
544,2,S7-2-3,0.663253112,S7,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
545,2,S5-2-3,-1.907252572,S5,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
546,2,S11-2-2,1.556954938,S11,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
547,2,S7-2-1,0.711998172,S7,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
548,2,S9-2-3,1.283677889,S9,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
549,2,S15-2-1,2.103404302,S15,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
550,2,S15-2-3,2.322862622,S15,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
551,2,S3-2-3,3.96760542,S3,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
552,2,S8-2-2,3.269755677,S8,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
553,2,S2-2-2,2.075554421,S2,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
554,2,S2-2-3,1.679256837,S2,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
555,2,S11-2-1,2.149087361,S11,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
556,2,S13-2-3,2.239499226,S13,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
557,2,S7-2-2,1.339382656,S7,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
558,2,S13-2-2,2.559187512,S13,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
559,2,S16-2-1,3.917473857,S16,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
560,2,S3-2-2,4.049000749,S3,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
561,2,S9-2-2,2.871675615,S9,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
562,2,S6-2-2,-1.12098681,S6,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
563,2,S6-2-3,0,S6,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
564,2,S1-2-3,1.810372121,S1,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
565,2,S1-2-2,1.551848357,S1,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
566,2,S8-2-3,3.290247491,S8,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
567,2,S5-2-2,-1.728016763,S5,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
568,2,S4-2-3,1.947715116,S4,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
569,2,S16-2-2,3.186906438,S16,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
570,2,S4-2-2,2.862365222,S4,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
571,2,S14-2-3,-0.204629679,S14,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
572,2,S11-2-3,1.448513397,S11,3,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
573,2,S10-2-2,3.492180476,S10,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
574,2,S10-2-1,2.384584884,S10,1,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
575,2,S12-2-2,1.819878916,S12,2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
576,20,S14-20-2,0,S14,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
577,20,S14-20-3,0.215691738,S14,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
578,20,S13-20-1,2.723384008,S13,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
579,20,S14-20-1,1.499494529,S14,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
580,20,S10-20-1,2.584993744,S10,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
581,20,S16-20-2,4.299783028,S16,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
582,20,S10-20-2,2.460062532,S10,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
583,20,S16-20-1,3.499892641,S16,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
584,20,S8-20-3,4.297615151,S8,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
585,20,S9-20-3,2.018612036,S9,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
586,20,S5-20-1,-2.26729933,S5,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
587,20,S2-20-1,1.619721854,S2,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
588,20,S11-20-3,1.550580023,S11,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
589,20,S7-20-1,-0.162882179,S7,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
590,20,S9-20-2,2.041425761,S9,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
591,20,S15-20-1,1.330924335,S15,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
592,20,S2-20-2,2.906097871,S2,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
593,20,S9-20-1,1.183480911,S9,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
594,20,S8-20-2,3.737605616,S8,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
595,20,S12-20-2,2.612821776,S12,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
596,20,S12-20-3,2.120050348,S12,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
597,20,S8-20-1,4.330398737,S8,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
598,20,S5-20-3,-1.487094599,S5,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
599,20,S4-20-1,3.733863768,S4,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
600,20,S7-20-2,1.127534674,S7,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
601,20,S5-20-2,-1.459954285,S5,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
602,20,S7-20-3,1.174311595,S7,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
603,20,S13-20-3,1.56679204,S13,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
604,20,S6-20-1,-1.012979559,S6,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
605,20,S3-20-1,4.013217091,S3,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
606,20,S15-20-2,1.62118781,S15,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
607,20,S15-20-3,1.406031464,S15,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
608,20,S1-20-2,2.179264117,S1,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
609,20,S1-20-3,1.308574677,S1,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
610,20,S2-20-3,1.134958665,S2,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
611,20,S16-20-3,3.061947997,S16,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
612,20,S11-20-1,2.923341527,S11,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
613,20,S11-20-2,3.078002979,S11,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
614,20,S3-20-3,4.232034756,S3,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
615,20,S4-20-2,2.310215754,S4,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
616,20,S13-20-2,2.147295477,S13,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
617,20,S4-20-3,2.991677806,S4,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
618,20,S10-20-3,3.685320876,S10,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
619,20,S6-20-2,-0.903643462,S6,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
620,20,S3-20-2,3.969756413,S3,2,RS1,Resistant starch postbiotic candidate 1,Postbiotic
621,20,S6-20-3,-1.113695445,S6,3,RS1,Resistant starch postbiotic candidate 1,Postbiotic
622,20,S12-20-1,2.640710186,S12,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
623,20,S1-20-1,1.88375123,S1,1,RS1,Resistant starch postbiotic candidate 1,Postbiotic
624,21,S8-21-1,3.366618363,S8,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
625,21,S8-21-2,4.187018131,S8,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
626,21,S8-21-3,4.089740738,S8,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
627,21,S14-21-1,-0.98071609,S14,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
628,21,S14-21-2,-1.210631755,S14,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
629,21,S4-21-1,2.378486841,S4,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
630,21,S13-21-1,3.20838441,S13,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
631,21,S16-21-1,3.177119174,S16,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
632,21,S16-21-2,4.006329521,S16,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
633,21,S10-21-1,3.429426158,S10,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
634,21,S10-21-2,3.358991255,S10,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
635,21,S10-21-3,3.429585237,S10,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
636,21,S3-21-1,2.840781384,S3,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
637,21,S12-21-1,2.78323007,S12,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
638,21,S12-21-2,1.365245183,S12,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
639,21,S16-21-3,4.053794345,S16,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
640,21,S2-21-2,3.010309754,S2,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
641,21,S2-21-3,2.844977662,S2,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
642,21,S5-21-3,-2.032120885,S5,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
643,21,S2-21-1,2.750101924,S2,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
644,21,S7-21-1,1.586496824,S7,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
645,21,S7-21-3,1.768849815,S7,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
646,21,S13-21-2,3.391384583,S13,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
647,21,S13-21-3,2.59748997,S13,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
648,21,S9-21-2,1.378116857,S9,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
649,21,S15-21-1,2.065671907,S15,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
650,21,S6-21-2,-0.099766642,S6,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
651,21,S6-21-3,-0.540619043,S6,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
652,21,S1-21-3,2.790830348,S1,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
653,21,S12-21-3,2.130366814,S12,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
654,21,S11-21-1,2.987029611,S11,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
655,21,S11-21-2,2.402028782,S11,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
656,21,S11-21-3,2.452409866,S11,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
657,21,S14-21-3,-0.848306622,S14,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
658,21,S4-21-2,2.496495846,S4,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
659,21,S4-21-3,1.777182719,S4,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
660,21,S9-21-1,3.006995602,S9,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
661,21,S6-21-1,1.209341819,S6,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
662,21,S3-21-2,3.990011354,S3,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
663,21,S1-21-1,2.934396175,S1,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
664,21,S1-21-2,2.081696703,S1,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
665,21,S15-21-3,1.424942749,S15,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
666,21,S7-21-2,1.754283134,S7,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
667,21,S5-21-1,-0.833251867,S5,1,RS2,Resistant starch postbiotic candidate 2,Postbiotic
668,21,S9-21-3,2.039454724,S9,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
669,21,S3-21-3,2.984173359,S3,3,RS2,Resistant starch postbiotic candidate 2,Postbiotic
670,21,S5-21-2,-1.241485947,S5,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
671,21,S15-21-2,2.217324403,S15,2,RS2,Resistant starch postbiotic candidate 2,Postbiotic
672,3,S3-3-3,2.993269494,S3,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
673,3,S8-3-2,3.484946321,S8,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
674,3,S8-3-3,3.540750063,S8,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
675,3,S14-3-2,1.275180486,S14,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
676,3,S14-3-3,0.564635116,S14,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
677,3,S2-3-2,1.490530691,S2,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
678,3,S15-3-2,1.642216218,S15,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
679,3,S6-3-2,-1.090038127,S6,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
680,3,S7-3-3,2.111807465,S7,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
681,3,S8-3-1,3.504197213,S8,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
682,3,S2-3-1,2.44585916,S2,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
683,3,S3-3-2,3.620563129,S3,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
684,3,S15-3-3,2.132726988,S15,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
685,3,S5-3-3,-1.195804877,S5,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
686,3,S7-3-1,2.119362982,S7,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
687,3,S5-3-1,-1.086519538,S5,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
688,3,S5-3-2,-1.62814666,S5,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
689,3,S4-3-3,1.923222487,S4,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
690,3,S9-3-1,3.303231655,S9,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
691,3,S15-3-1,2.356394164,S15,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
692,3,S3-3-1,3.556751445,S3,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
693,3,S1-3-1,2.2914405,S1,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
694,3,S9-3-3,3.477636191,S9,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
695,3,S1-3-3,2.366483077,S1,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
696,3,S12-3-3,2.255243082,S12,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
697,3,S11-3-1,1.101125477,S11,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
698,3,S11-3-2,1.838518609,S11,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
699,3,S11-3-3,0.925641538,S11,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
700,3,S13-3-1,2.889424155,S13,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
701,3,S7-3-2,2.714852368,S7,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
702,3,S16-3-2,4.13334318,S16,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
703,3,S16-3-3,3.932525538,S16,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
704,3,S10-3-2,3.040335714,S10,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
705,3,S10-3-3,2.567429217,S10,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
706,3,S9-3-2,3.074032421,S9,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
707,3,S12-3-1,1.921662442,S12,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
708,3,S14-3-1,0,S14,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
709,3,S12-3-2,2.692211295,S12,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
710,3,S2-3-3,1.634805377,S2,3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
711,3,S16-3-1,4.189168238,S16,1,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
712,3,S1-3-2,2.66047548,S1,2,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
