,Sample_Abbr,Sample,Category
1,SBG,Super B-glucan (SBG),Prebiotic fiber
2,OBG-70%,Oat B-glucans (OBG 70% (Low m.wt))- Garuda,Prebiotic fiber
3,OBG-29%,lantamanen OBG-29% GF,Prebiotic fiber
4,OBG-28% ,OBG 28% (OatWell Bran),Prebiotic fiber
5,YBG,Yeast B-glucans (YBG-Wellmune),Prebiotic fiber
6,Gingest,Gingest,Prebiotic fiber
7,Inulin,Inulin,Prebiotic control
8,AXOS,AXOS,Prebiotic fiber
9,Agrifiber,Agrifiber,Prebiotic fiber
10,Acerola,Acerola full spectrum,Vitamin + fiber
11,Acerola_R,Red Acerola 20% Vit C,Vitamin
12,Acerola_G,Green Acerola 34% Vit C,Vitamin
13,Acerola_R&G,Acerola red 20% vit C& acerola green vit C 34%,Vitamin (Synergistic)
14,VitC,Ascorbic acid (Vit c),Vitamin
15,Carrot&Acerola_G,Carrot juice + Green Acerola,Vitamin (Synergistic effect)
16,Carrot-Vit A,Carrot juice pro vit A,Vitamin 
17,Svetol,Svetol,Polyphenols
18,Aronox_PE,Aronox PE 40% polyphenols,Polyphenols
19,Acerola_G&OBG-28%,Acerola green + OBG 28%,Synergistic effect (Fiber)
20,RS1,Resistant starch postbiotic candidate 1,Postbiotic
21,RS2,Resistant starch postbiotic candidate 2,Postbiotic