Sample_Name,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
std,110.46648,122.27937,74.98792,157.06085,97.43394,102.08888,127.52065
S1-FBB0,119.14212,0,30.87879,9.7131,37.62183,34.83449,148.29535
S2-FBB0,107.26363,4.15714,28.98838,7.94653,34.63025,33.48197,141.91071
S2-FBB16,123.00647,4.62905,30.92384,10.25332,36.7399,35.02517,135.88994
S3-FBB0,108.47621,6.21222,28.39746,7.3698,33.68242,33.53175,139.45213
S3-FBB16,116.20245,8.322,30.17947,10.92927,36.25122,35.4282,138.97873
S4-FBB0,102.26656,0,29.30693,4.19501,35.19532,33.54361,143.78328
S4-FBB16,132.25987,4.45122,40.1098,11.50699,48.92789,45.58051,196.71523
S5-FBB0,94.97079,0,26.7359,0,31.97997,30.30298,135.49985
S5-FBB16,81.72765,0,22.58784,0,27.2042,25.09369,134.7951
S6-FBB0,98.60807,0,28.64332,4.824,34.70456,32.52545,137.90169
S6-FBB16,115.38969,0,29.13183,6.72762,35.07199,32.77388,132.34053
S7-FBB0,95.36431,0,28.00203,0,33.62278,32.01482,138.05437
S7-FBB16,101.06202,3.69506,26.23006,5.87611,31.4306,29.22013,125.22208
S8-FBB0,93.14995,0,27.89205,3.93121,33.50425,32.29266,143.69388
S8-FBB16,110.86282,0,30.09756,4.56601,36.43677,34.68032,142.53412
S9-FBB0,116.37968,4.83863,31.97654,6.80614,38.20031,37.07561,158.32988
S9-FBB16,132.46344,5.82813,34.36747,11.97727,41.35236,39.49845,143.05458
S10-FBB0,116.8998,9.10381,33.18359,9.35951,39.81638,39.14098,157.62941
S10-FBB16,122.35639,9.8078,34.13841,10.34589,40.86539,39.78219,152.77074
S11-FBB0,116.8292,3.78766,33.66579,4.74764,40.30774,39.00238,154.12187
S11-FBB16,118.68753,4.03323,33.71612,6.30749,40.79711,38.97551,157.92024
S12-FBB0,111.87368,0,34.30825,8.08179,42.30139,39.73552,158.70854
S12-FBB16,123.8898,3.97511,35.81478,12.48997,45.52779,40.79036,155.54689
S13-FBB0,114.67876,5.65798,32.04813,11.98366,38.34217,38.87769,155.39845
S13-FBB16,123.60557,7.68436,34.26157,17.32734,40.78594,40.64787,158.16609
S14-FBB0,104.89105,0,31.89746,3.48165,38.12545,36.8636,163.10954
S14-FBB16,119.68488,0,39.28431,7.80207,48.40067,45.17107,178.24643
S15-FBB0,95.01,0,28.35837,3.90081,34.42973,32.44213,133.51541
S15-FBB16,106.06499,3.7778,29.43283,7.36119,35.99751,33.28179,141.50337
S16-FBB0,102.4031,0,30.26197,7.33792,36.01124,35.36354,141.41615
S16-FBB16,88.3741,0,25.13846,13.00237,30.41298,29.10566,121.73147
std,108.99643,127.28479,73.69353,163.7785,98.65163,107.50452,130.04721