Sample,Acetate,Propionate,Isobutyrate,Butyrate,Isovaleric,Valeric,InternalSD
STD1,117.85542,135.35031,66.57948,134.1306,93.78232,80.05744,105.41518
S5-16-2,39.65429,6.12491,0,5.44945,0,0,56.94736
S5-16-3,29.80034,5.59675,0,4.65393,3.80062,0,60.05648
S5-5-2,25.27853,12.19565,0,67.53198,0,0,53.85054
S5-4-2,40.13856,14.09254,0,0,0,0,51.6492
S5-4-3,35.60063,16.13355,0,0,3.79585,0,59.1104
S5-15-2,22.75854,0,4.5744,0,3.85214,0,59.06308
S5-21-2,20.8147,0,0,0,0,0,55.43792
S5-1-3,26.57059,21.37764,0,44.99161,0,0,53.11655
S5-19-1,23.01611,5.21358,0,0,0,0,48.77286
S5-12-3,21.87214,0,3.43176,0,0,0,60.09202
S5-11-2,19.66058,0,0,0,0,0,52.67099
S5-6-1,33.79135,0,0,0,0,0,55.5151
S5-13-1,32.10088,0,0,0,0,0,57.25083
S5-4-1,29.93294,11.57909,0,0,0,0,45.49528
S5-3-3,39.17501,12.64872,0,0,0,0,46.855
S5-1-1,27.93051,20.99497,3.21036,41.36879,3.9488,0,59.41294
S5-7-1,37.45751,8.0029,0,23.7304,0,0,48.24038
S5-7-3,44.69915,9.76045,0,30.40629,0,0,57.87791
S5-3-1,39.50439,12.4968,0,0,0,0,55.34338
S5-15-1,0,0,0,0,0,0,33.93817
S5-3-2,29.97053,12.77748,0,0,0,0,50.65467
S5-20-2,51.38508,6.88484,0,9.73146,0,0,52.83521
S5-11-1,31.79423,0,0,0,0,0,57.95316
S5-2-2,52.48143,6.79623,0,20.53417,0,0,43.59098
S5-11-3,31.81401,0,3.4272,0,4.09806,0,64.26949
S5-15-3,0,0,0,0,0,0,48.86163
S5-12-1,33.6558,0,3.24617,0,3.85287,0,61.20602
S5-2-1,51.45691,7.63604,0,21.37804,0,0,47.13776
S5-9-2,47.36462,9.10728,0,19.97075,0,0,58.86865
S5-6-3,0,0,0,0,0,0,51.03929
S5-5-3,16.90311,8.88781,0,62.99839,0,0,46.0733
S5-19-3,18.36514,4.74956,0,0,0,0,47.10468
S5-20-1,44.1954,6.20172,0,6.0349,0,0,48.09836
S5-1-2,47.77601,27.7449,5.52964,51.70864,5.35742,4.74661,75.36811
S5-16-1,38.82103,0,0,0,3.5455,0,53.45405
S5-9-1,30.15653,7.51012,0,15.26343,0,0,48.27173
STD2,101.08895,106.77213,63.57298,117.20055,87.73742,71.60557,96.18903
S5-8-1,0,0,0,10.98757,0,0,20.51857
S5-9-3,0,0,0,5.91035,0,0,15.12099
S6-5-2,0,0,0,39.25953,0,0,18.14093
S6-12-3,0,0,0,0,0,0,17.36133
S6-16-1,0,0,0,8.93402,0,0,15.45901
S6-15-2,0,0,0,0,0,0,16.09986
S6-11-1,0,0,0,0,0,0,21.7147
S6-15-3,0,0,0,0,0,0,22.73887
S6-3-3,0,0,0,0,0,0,14.25379
S6-21-1,0,0,0,11.15311,0,0,20.93501
S6-2-1,0,0,0,34.21439,0,0,19.57366
S6-19-3,0,0,0,0,0,0,20.52809
S6-11-3,0,0,0,0,0,0,21.99092
S6-15-1,0,0,0,0,0,0,18.96536
S6-20-3,0,0,0,21.34967,0,0,21.61987
S6-13-2,0,0,0,0,0,0,22.21148
S6-9-3,0,0,0,18.59036,0,0,20.73488
S6-11-2,0,0,0,0,0,0,20.63989
S6-6-3,23.53536,0,3.61604,23.1882,4.57821,0,67.91434
S6-14-3,0,0,3.33752,0,4.05708,0,65.97406
S6-14-2,0,0,0,0,0,0,52.6057
S6-5-1,0,7.13889,2.94148,89.87573,3.9618,0,50.59845
S6-4-2,0,6.9539,0,19.57945,0,0,38.97319
S6-10-1,0,0,3.2834,0,3.97098,0,60.92297
S6-6-1,17.03844,0,3.78829,46.10574,4.77653,0,72.43172
S6-2-2,40.85458,4.20515,3.57627,101.70592,4.66705,3.69549,61.63213
S6-1-2,0,13.37983,3.86045,88.96622,6.9199,4.3665,70.44014
STD3,78.56669,95.08675,56.2003,111.82182,82.4216,70.20276,90.01163
S6-1-3,14.93344,15.47033,4.23604,93.71105,6.72056,5.09537,69.46066
S6-21-3,29.67076,0,3.8931,21.7207,5.09667,5.00297,87.81544
S6-3-2,19.05823,13.87012,0,18.96006,3.62276,0,54.38668
S6-3-1,18.89396,18.34706,3.19079,12.79633,4.57366,0,68.61048
S6-12-1,0,0,0,0,0,0,34.9086
S6-13-1,0,0,0,0,0,0,45.14405
S6-4-1,0,5.45038,0,17.868,0,0,35.40313
S6-4-3,0,4.94308,0,15.70157,0,0,25.7166
S6-13-3,0,0,2.99447,0,3.64509,0,54.98513
S6-10-2,0,0,3.56939,0,4.31793,0,73.16177
S6-20-2,45.74172,5.60738,4.86944,80.50333,5.69855,5.19861,85.83813
S6-19-2,0,6.66834,3.85692,7.94539,4.81556,4.65196,71.06068
S6-16-3,49.89551,0,3.02513,37.40726,3.61702,0,55.76201
S6-14-1,0,0,3.07568,0,3.50605,0,54.11112
S6-12-2,0,0,0,0,0,0,39.46935
S6-20-1,0,0,0,14.17323,0,0,16.56892
S6-9-1,0,0,0,8.34103,0,0,17.86402
S6-19-1,0,0,0,0,0,0,18.17639
S6-1-1,0,6.04823,0,40.28122,0,0,23.65347
STD4,59.44016,73.78811,45.7504,88.3895,66.52171,55.44681,73.21248